Table 1
word	Final_rating																
Ftp	bad																
Dicke	bad																
Nasenflügel	bad																
Dachrinne	bad																
Brei	bad																
Karree	bad																
Schlupfloch	bad																
Abbild	mid																
Ast	good																
Flagschiff	bad																
Hühnerauge	bad																
Ladenlokal	bad																
Bahnstraße	bad																
Zwischenstop	bad																
Auswuchs	bad																
Asbest	bad																
Feststoff	bad																
Kobra	bad																
Frontseite	bad																
Taverne	bad																
Zugbrücke	bad																
Farmhaus	bad																
Speckstein	bad																
Siesta	bad																
Kieselalge	bad																
Vorschiff	bad																
Brennessel	bad																
Spinnentier	bad																
Mangrove	bad																
Saat	bad																
Brandmauer	bad																
Heilbutt	bad																
Wodka	bad																
Weinberg	bad																
Hafen	bad																
Warze	bad																
Schweif	mid																
Bärtige	bad																
Quarter	bad																
Sindelfinger	bad																
Kinn	bad																
Antlitz	bad																
Pulpa	bad																
Harnblase	bad																
Limousine	bad																
Niere	bad																
Scheinwerfer	bad																
Kokain	bad																
Vestibül	bad																
Nordstadt	bad																
Gästehaus	bad																
Stockwerk	bad																
Gruft	good																
Limo	bad																
Säulengang	bad																
Eis	bad																
Honigtau	bad																
Nektar	bad																
Bauch	bad																
Brauhaus	bad																
Ringstraße	bad																
Unterkleid	bad																
Hohlraum	bad																
Yachthafen	bad																
Kardamom	bad																
Zitadelle	bad																
Jerusalemer	bad																
Kaninchen	bad																
Haube	good																
Bauchfell	bad																
Strand	bad																
Beere	bad																
Wein	bad																
Eintopf	bad																
Robe	bad																
Pixel	bad																
Likör	bad																
Areal	bad																
Waisenhaus	bad																
Hirninfarkt	bad																
Labyrinth	bad																
Brösel	bad																
Bier	bad																
Turmspitze	mid																
Turban	bad																
Mietskaserne	bad																
Erdkugel	bad																
Mango	bad																
Espe	bad																
Sauce	bad																
Apartment	bad																
Fachwerk	bad																
Körnchen	bad																
Rote	bad																
Pilger	bad																
Soße	bad																
Schlafsaal	bad																
Tröpfchen	bad																
Kubus	bad																
Goldfinger	bad																
Wandschrank	bad																
Seebrücke	bad																
Urin	bad																
Uniform	bad																
Geißel	bad																
Fleck	good																
Facelift	bad																
Grabplatte	bad																
Refraktor	bad																
Coupon	bad																
Stadtplan	bad																
Auster	bad																
Leuchtfeuer	bad																
Palast	bad																
Steinweg	mid																
Cognac	bad																
Auguststraße	bad																
Zapfstelle	bad																
Vogelbeere	bad																
Bauwerk	bad																
Lungenflügel	bad																
Schnellbahn	bad																
Kabeljau	bad																
Tonerde	bad																
Trüffel	bad																
Polyp	bad																
Ginster	bad																
Schindel	bad																
Tomate	bad																
Rennpferd	bad																
Körpergröße	bad																
Bachlauf	bad																
Zwerg	bad																
H&M	bad																
Larve	bad																
Fettback	bad																
Fischsuppe	bad																
Glanzpunkt	bad																
Straßenrand	bad																
Fluß	bad																
Küchlein	bad																
Büste	good																
Klitoris	bad																
