word	old20 score (based on the top 35502 lemmas in sdewac)
Person	6.0
Computerspiel	13.0
Rolle	5.0
Tor	3.0
Neugierde	9.0
Taschenlampe	12.0
Begrüßung	9.0
Lebende	7.0
Pracht	6.0
Doktor	6.0
Spitze	6.0
Publikum	8.0
Abendstunde	11.0
Donnerstag	10.0
Kuh	3.0
Verständnis	11.0
Mond	4.0
Wichtige	8.0
Szene	5.0
Abendbrot	9.0
Besitzer	8.0
Sammlung	8.0
Pflege	6.0
Gruppe	6.0
Süßigkeit	9.0
Orange	6.0
Klo	3.0
Häuschen	8.0
Osterhase	9.0
Maus	4.0
Mittelfeld	10.0
Zigeuner	8.0
Sofa	4.0
Handtuch	8.0
Draht	5.0
Senior	6.0
Ältestenrat	11.0
Häuptling	9.0
Schein	6.0
Kollege	7.0
Rede	4.0
Kellner	7.0
Blume	5.0
Jahreszeit	10.0
Gesichtsausdruck	16.0
Katze	5.0
Anteil	6.0
Vergessenheit	13.0
Milch	5.0
Versteck	8.0
Grab	4.0
Krieger	7.0
Fahrgast	8.0
Gras	4.0
Landkarte	9.0
Schwimmen	9.0
Aufruhr	7.0
Vorsicht	8.0
Höhle	5.0
Weihnachtszeit	14.0
Gesellschaft	12.0
Beispiel	8.0
Grad	4.0
Mulde	5.0
Kurs	4.0
Brötchen	8.0
Frühstück	9.0
Videokamera	11.0
Mütze	5.0
Reich	5.0
Kampf	5.0
Schacht	7.0
Pilot	5.0
Stall	5.0
Ware	4.0
Anzug	5.0
Pistole	7.0
Infusion	8.0
Arzt	4.0
Flugzeug	8.0
Bär	3.0
Deutsche	8.0
Uhu	3.0
Hahn	4.0
Rhythmus	8.0
Schöne	6.0
Unterstützung	13.0
Tresen	6.0
Selbstmord	10.0
Frühjahr	8.0
Abfahrt	7.0
Ferse	5.0
Elend	5.0
Knall	5.0
Euphorie	8.0
Erziehungsberechtigte	21.0
Herbst	6.0
Schaden	7.0
Fleck	5.0
Alter	5.0
Anfall	6.0
Absperrung	10.0
Meisterwerk	11.0
Sitzung	7.0
Balkon	6.0
Kapelle	7.0
Bank	4.0
Taxi	4.0
cm	2.0
Stroh	5.0
Gans	4.0
Vase	4.0
Essen	5.0
Haufe	5.0
Ast	3.0
Stamm	5.0
Topf	4.0
Denkmal	7.0
Laden	5.0
Maschine	8.0
Führer	6.0
Karawane	8.0
Relativitätstheorie	19.0
Birke	5.0
Moos	4.0
Beute	5.0
Hausarzt	8.0
Aufstieg	8.0
T	2.0
Leiter	6.0
Stadtbücherei	13.0
B	2.0
Hut	3.0
Landstraße	10.0
Befehl	6.0
Klasse	6.0
Lehrer	6.0
Busch	5.0
Lebensmittel	12.0
Bürger	6.0
Wohlstand	9.0
Schuldige	9.0
Naturschutzgebiet	17.0
Blech	5.0
Kurator	7.0
Papagei	7.0
Hochzeit	8.0
Elster	6.0
Paradies	8.0
Stirn	5.0
Narbe	5.0
Loch	4.0
Paar	4.0
Politiker	9.0
Chef	4.0
Unternehmen	11.0
Witwe	5.0
Kasten	6.0
Sonnenstrahl	12.0
Silhouette	10.0
Erste	5.0
Nachbar	7.0
Großvater	9.0
Wachstum	8.0
Nutz	4.0
Bühne	5.0
Kiste	5.0
Dienststelle	12.0
Techniker	9.0
Fund	4.0
Expedition	10.0
Dozent	6.0
Skepsis	7.0
Klinikum	8.0
Anfrage	7.0
Lunge	5.0
Tasche	6.0
Kittel	6.0
Passant	7.0
Zeuge	5.0
Regen	5.0
Rauschen	8.0
Lärm	4.0
Ferne	5.0
Erliegen	8.0
Schloß	6.0
Schale	6.0
Limousine	9.0
Kinderklinik	12.0
Kaserne	7.0
Geschrei	8.0
Werdegang	9.0
Erscheinungsbild	16.0
Ausstrahlung	12.0
Umriß	5.0
April	5.0
Landschaft	10.0
Standesamt	10.0
Afrikaner	9.0
Erbse	5.0
Schuß	5.0
Quadratmeter	12.0
Schlaganfall	12.0
Knopf	5.0
Scheibe	7.0
Anrufbeantworter	16.0
Kiosk	5.0
Kombination	11.0
Hauptstadt	10.0
Festung	7.0
Geburt	6.0
Schwierigkeit	13.0
Graben	6.0
Termin	6.0
Stockwerk	9.0
Infizierte	10.0
Ruf	3.0
Kassette	8.0
Start	5.0
Verstorbene	11.0
Diskette	8.0
Party	5.0
Konferenz	9.0
All	3.0
Holz	4.0
Maß	3.0
Auslieferung	12.0
Café	4.0
Gemäuer	7.0
Haupt	5.0
Eis	3.0
Hunger	6.0
Faxe	4.0
Saft	4.0
Leitung	7.0
Hinweis	7.0
Villa	5.0
Stadtrand	9.0
Tafel	5.0
Pulver	6.0
Dampf	5.0
Gefangene	9.0
Bibliothek	10.0
Mediziner	9.0
Salsa	5.0
Reiser	6.0
Waldrand	8.0
Jubel	5.0
Druck	5.0
s	2.0
Fell	4.0
Wirbel	6.0
Lektion	7.0
Wochenende	10.0
Vieh	4.0
Statist	7.0
Älteste	7.0
Sarg	4.0
Auserwählte	11.0
Nächste	7.0
Großmutter	10.0
Jüngling	8.0
Göttin	6.0
Fossil	6.0
Kreislauf	9.0
Verbrecher	10.0
Versager	8.0
Wurm	4.0
Star	4.0
Kindergarten	12.0
Tierfreund	10.0
Schutzengel	11.0
Scheiße	7.0
Schwein	7.0
Forschungsprojekt	17.0
Erholung	8.0
Energiequelle	13.0
Nachricht	9.0
Schoß	5.0
Übergang	8.0
Suche	5.0
Sicht	5.0
Schokolade	10.0
Auszeichnung	12.0
Erfolg	6.0
Opa	3.0
Geschäft	8.0
Abstammung	10.0
Charakter	9.0
Beziehung	9.0
Aufwand	7.0
Büro	4.0
Tee	3.0
Ultraschalluntersuchung	23.0
Retter	6.0
Auslöser	8.0
Streß	5.0
Alltägliche	11.0
Speicher	8.0
Rücken	6.0
Torte	5.0
Altersheim	10.0
Telefon	7.0
Gewinnspiel	11.0
Bohne	5.0
Dienst	6.0
Weihnachtsgeschenk	18.0
Kompaß	6.0
Schlag	6.0
Nase	4.0
Zugang	6.0
Verantwortung	13.0
Panik	5.0
Decke	5.0
Tempel	6.0
Vollkommenheit	14.0
Verabredung	11.0
Uni	3.0
Acker	5.0
Tour	4.0
Wesentliche	11.0
Geburtstag	10.0
Bekannte	8.0
Alkohol	7.0
Fahrkarte	9.0
Gabe	4.0
Gunst	5.0
Ahnung	6.0
Spätsommer	10.0
Stich	5.0
Hintern	7.0
Sonnenuntergang	15.0
Todesangst	10.0
Pädagogik	9.0
Geschenk	8.0
Service	7.0
Einbrecher	10.0
Kur	3.0
Kette	5.0
Kreuz	5.0
Mitleid	7.0
Bob	3.0
Rad	3.0
Idiot	5.0
Schachtel	9.0
Rückschlag	10.0
Schmuck	7.0
Kästchen	8.0
Volkshochschule	15.0
Rucksack	8.0
Agent	5.0
Jungs	5.0
Konversation	12.0
Boot	4.0
Mutti	5.0
Lied	4.0
Frucht	6.0
Gesetz	6.0
Haltung	7.0
Ansicht	7.0
Ausreißer	9.0
Job	3.0
Kohle	5.0
Mir	3.0
Schluß	6.0
Fest	4.0
Gräfin	6.0
Umgehungsstraße	15.0
Pack	4.0
Dummheit	8.0
Dummkopf	8.0
Helm	4.0
Deckung	7.0
Anzahl	6.0
Praktikum	9.0
Anspruch	8.0
Gut	3.0
Gold	4.0
Schnabel	8.0
Agentur	7.0
Planet	6.0
Trauma	6.0
Flecken	7.0
Kult	4.0
Dunkle	6.0
Glasscheibe	11.0
Erzählen	8.0
Schuljahr	9.0
Besinnung	9.0
Schlimmere	10.0
Einsetzen	9.0
Ansehen	7.0
Gelände	7.0
Motor	5.0
Befürchtung	11.0
Reifen	6.0
Straßenseite	12.0
Implantat	9.0
Impuls	6.0
Internet	8.0
Lichtstrahl	11.0
Schlacht	8.0
Städtchen	9.0
Hecke	5.0
Mikrofon	8.0
Siegerehrung	12.0
Pferd	5.0
Tempo	5.0
Gleis	5.0
Gleichgewicht	13.0
Lift	4.0
Halle	5.0
Knochenbruch	12.0
Sanitäter	9.0
Schuldgefühl	12.0
Bildungssystem	14.0
Lücke	5.0
Kerze	5.0
Herd	4.0
Schrei	6.0
Spion	5.0
Wein	4.0
Gitter	6.0
Terrasse	8.0
Oberkörper	10.0
Bewegung	8.0
Sonnenlicht	11.0
Unterlage	9.0
Einblick	8.0
Heirat	6.0
Strauch	7.0
Baumbestand	11.0
Gartenanlage	12.0
Lichtung	8.0
Bach	4.0
Luke	4.0
Beleuchtung	11.0
Öffnung	7.0
Schaufenster	12.0
Apotheker	9.0
Gerechtigkeit	13.0
Fläche	6.0
Willkür	7.0
Gesetzmäßigkeit	15.0
Seitenwand	10.0
Pille	5.0
Staat	5.0
Ausbildungszeit	15.0
Strömung	8.0
Mitarbeiter	11.0
Folge	5.0
Pfad	4.0
Wilde	5.0
Anliegen	8.0
Reisende	8.0
Nachfrage	9.0
Kennenlernen	12.0
Erweiterung	11.0
Schleier	8.0
Spalt	5.0
Fuchs	5.0
Zuneigung	9.0
Vielzahl	8.0
Erstarrung	10.0
Wild	4.0
Hälfte	6.0
Habgier	7.0
Song	4.0
Verhalten	9.0
Bestreben	9.0
Wildnis	7.0
Umwelt	6.0
Dreck	5.0
Unachtsamkeit	13.0
Fernglas	8.0
Gemeinschaft	12.0
Höchste	7.0
Hügel	5.0
Campingplatz	12.0
Cent	4.0
Rauch	5.0
Nässe	5.0
Frequenz	8.0
Bewußtlosigkeit	15.0
Fußboden	8.0
Können	6.0
Kreativität	11.0
Grenze	6.0
Schaf	5.0
Empfang	7.0
Kontur	6.0
Universum	9.0
Wettbewerb	10.0
Puppe	5.0
Lehrerin	8.0
Volksschule	11.0
Ehepaar	7.0
Ausklang	8.0
Fragezeichen	12.0
Locke	5.0
Schwachsinn	11.0
Friedhof	8.0
Glücksgefühl	12.0
Hering	6.0
Feld	4.0
Botschaft	9.0
Durst	5.0
Kehle	5.0
Artist	6.0
Bahnsteig	9.0
Prinz	5.0
Heiland	7.0
Eigensinn	9.0
Reis	4.0
Verspätung	10.0
Eden	4.0
Süden	5.0
Balken	6.0
Lebenssituation	15.0
Absicht	7.0
Dutzend	7.0
Kaninchen	9.0
Weiher	6.0
Arschloch	9.0
Fünf	4.0
Wirt	4.0
Baby	4.0
Breite	6.0
Taille	6.0
Lokal	5.0
Euro	4.0
Beerdigung	10.0
Sparbuch	8.0
Firma	5.0
Ehe	3.0
Glatze	6.0
