Action	Animate	Bigram_freq	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Lemma_freq	Letters	Living	Natural	Neighbors	Sound	Trigram_freq	Vertrautheit	Vertrautheit_SD	Visuell	Visuell_SD	Words	n_Syllables
1.0	0.0	359740.26	5.44	0.78	5.56	0.7	1.24	6.0	0.0	0.0	5.14	1.0	220845.53	5.61	0.85	3.83	1.15	Bohrer	2.0	
1.0	0.0	257689.01	5.69	na	4.56	na	0.92	8.0	0.0	0.0	1.71	1.0	238741.46	5.19	1.33	4.38	na	Saxophon	3.0	
0.0	1.0	196472.96	4.07	na	1.4	na	4.31	4.0	1.0	1.0	22.69	1.0	150953.02	5.92	0.28	4.47	na	Rabe	2.0	
0.0	0.0	433579.29	1.0	na	2.13	na	7.75	6.0	0.0	0.0	16.27	0.0	347883.16	5.75	0.68	3.4	na	Balken	2.0	
0.0	1.0	417024.85	4.13	1.41	1.75	0.68	4.72	10.0	1.0	1.0	0.43	1.0	183277.75	5.5	0.89	5.0	1.03	Schimpanse	3.0	
1.0	0.0	410232.09	1.63	0.96	4.88	1.15	4.24	8.0	0.0	0.0	3.0	0.0	180989.58	5.75	0.58	4.13	1.67	Schraube	2.0	
1.0	0.0	245903.1	5.94	0.24	5.44	0.78	2.66	10.0	0.0	0.0	1.28	1.0	76206.52	5.61	0.92	4.39	1.65	Schlagzeug	2.0	
0.0	1.0	288829.8	1.31	0.48	1.25	0.58	0.69	9.0	1.0	1.0	0.86	0.0	213100.87	5.0	1.63	4.75	1.53	Chamäleon	4.0	
1.0	0.0	430851.11	5.56	0.89	5.13	1.15	1.4	10.0	0.0	0.0	1.71	1.0	204808.46	5.56	1.03	4.19	1.38	Klarinette	4.0	
0.0	1.0	603191.51	4.36	na	1.36	na	0.47	11.0	1.0	1.0	0.43	1.0	385767.32	5.75	0.68	4.6	na	Rotkehlchen	3.0	
0.0	0.0	193991.8	1.13	na	1.6	na	14.5	5.0	0.0	0.0	8.13	0.0	164605.62	5.83	0.64	4.4	na	Säule	2.0	
1.0	0.0	219195.7	5.6	na	4.4	na	0.54	8.0	0.0	0.0	0.86	1.0	50092.5	5.79	0.51	4.2	na	Triangel	3.0	
0.0	1.0	198223.21	4.67	na	2.33	na	10.38	5.0	1.0	1.0	13.7	1.0	58366.16	5.96	0.2	4.87	na	Schaf	1.0	
1.0	0.0	228613.66	1.06	0.24	5.11	1.02	5.02	6.0	0.0	0.0	10.27	0.0	78001.12	5.0	1.5	3.5	1.65	Scheck	1.0	
1.0	0.0	237886.49	1.33	0.49	5.44	0.78	4.32	7.0	0.0	0.0	4.28	0.0	167758.9	5.61	0.92	4.67	1.53	Spritze	2.0	
1.0	0.0	221808.41	1.17	0.58	4.7	1.15	3.55	5.0	0.0	0.0	17.12	0.0	63094.77	5.95	0.22	4.33	1.53	Schal	1.0	
0.0	0.0	113581.57	4.0	1.14	2.06	0.8	37.56	5.0	0.0	1.0	4.71	1.0	80248.38	5.89	0.47	4.33	1.5	Fluss	1.0	
1.0	0.0	46451.85	5.31	1.14	5.81	0.4	51.85	4.0	0.0	0.0	13.27	1.0	32937.18	5.81	0.54	4.94	1.18	Auto	2.0	
1.0	0.0	265770.83	5.5	0.79	4.61	1.33	8.4	6.0	0.0	0.0	6.42	1.0	162179.83	5.33	1.19	4.22	1.44	Kanone	3.0	
1.0	0.0	254957.0	5.31	1.14	4.31	1.74	12.48	6.0	0.0	0.0	3.0	1.0	168757.78	5.44	1.09	4.25	1.29	Rakete	3.0	
1.0	0.0	89819.45	5.27	na	4.33	na	0.46	8.0	0.0	0.0	1.28	1.0	56202.91	5.63	0.92	3.8	na	Keyboard	2.0	
1.0	0.0	71484.35	5.38	0.89	5.44	0.81	0.64	5.0	0.0	0.0	1.28	1.0	55515.62	5.75	0.77	4.81	1.22	Moped	2.0	
0.0	0.0	183347.34	1.65	0.71	2.17	1.34	12.97	5.0	0.0	1.0	8.56	0.0	149830.44	5.67	0.73	4.24	1.48	Höhle	2.0	
0.0	1.0	180066.5	4.27	na	1.4	na	3.32	4.0	1.0	1.0	14.98	1.0	152494.62	5.92	0.28	4.33	na	Eule	2.0	
1.0	0.0	380732.22	5.5	na	4.38	na	0.64	9.0	0.0	0.0	1.71	1.0	240358.22	5.1	1.37	4.44	na	Akkordeon	4.0	
1.0	0.0	146785.06	1.0	na	4.56	na	2.4	4.0	0.0	0.0	15.41	0.0	141298.0	5.92	0.28	3.88	na	Lupe	2.0	
1.0	0.0	231168.07	5.5	1.03	5.25	1.13	0.05	7.0	0.0	0.0	0.0	1.0	146201.83	5.31	1.08	4.06	1.81	Ukulele	4.0	
1.0	0.0	347302.57	5.72	0.67	4.78	1.48	0.43	6.0	0.0	0.0	10.7	1.0	222736.89	5.56	1.04	3.06	1.92	Böller	2.0	
1.0	0.0	519759.56	1.33	0.59	5.0	1.14	4.84	9.0	0.0	0.0	2.14	0.0	196098.33	5.83	0.51	3.5	1.98	Serviette	4.0	
1.0	0.0	296065.73	5.48	0.98	5.16	1.12	0.49	5.0	0.0	0.0	5.57	1.0	209788.37	5.71	0.64	4.0	1.33	Mixer	2.0	
1.0	0.0	122404.49	5.5	1.03	4.94	1.24	1.28	6.0	0.0	0.0	11.99	1.0	43586.97	5.56	0.89	3.13	1.71	Rassel	2.0	
0.0	1.0	100522.68	1.22	0.42	1.48	0.95	0.13	7.0	1.0	1.0	0.86	0.0	75196.74	4.95	1.4	5.05	1.07	Oktopus	3.0	
0.0	1.0	256969.21	4.06	1.24	1.5	0.63	0.82	6.0	1.0	1.0	3.85	1.0	215604.79	5.19	1.17	5.06	1.06	Pavian	3.0	
0.0	0.0	182039.59	1.0	0.0	1.91	0.79	2.61	5.0	1.0	1.0	7.71	0.0	141120.9	5.19	0.93	4.33	1.35	Nelke	2.0	
0.0	1.0	115322.36	1.38	1.02	1.19	0.54	0.19	7.0	1.0	1.0	1.28	0.0	21896.68	5.25	1.29	3.88	1.86	Piranha	3.0	
0.0	1.0	232832.72	1.74	0.92	1.22	0.52	2.43	5.0	1.0	1.0	12.84	0.0	103223.41	5.38	1.2	4.38	1.66	Dachs	1.0	
1.0	0.0	175077.93	5.39	0.92	4.83	1.34	1.95	7.0	0.0	0.0	3.0	1.0	128799.89	5.22	1.0	3.17	1.47	Dynamit	3.0	
1.0	0.0	268006.25	5.19	0.91	5.0	1.32	9.63	7.0	0.0	0.0	4.28	1.0	160533.63	5.31	1.54	4.63	1.31	Pistole	3.0	
1.0	0.0	204325.11	1.13	0.34	5.0	1.21	3.58	5.0	0.0	0.0	15.41	0.0	159377.6	5.75	0.58	3.81	1.64	Pille	2.0	
1.0	0.0	223153.35	4.94	1.0	5.28	0.96	1.19	6.0	0.0	0.0	3.0	1.0	153458.27	5.06	1.3	4.22	1.26	Knarre	2.0	
0.0	0.0	516739.64	1.33	na	1.73	na	1.92	7.0	0.0	0.0	3.42	0.0	372254.3	5.75	0.68	3.13	na	Pfosten	2.0	
0.0	1.0	279393.44	5.0	na	1.53	na	2.24	6.0	1.0	1.0	3.0	1.0	157156.9	5.88	0.34	4.47	na	Specht	1.0	
0.0	0.0	199983.05	3.83	1.11	1.7	0.88	21.63	4.0	0.0	1.0	30.39	1.0	108401.01	5.76	0.54	3.43	1.36	Bach	1.0	
1.0	0.0	323815.1	5.25	1.18	4.88	1.71	7.47	7.0	0.0	0.0	3.85	1.0	179947.34	4.5	2.0	3.69	1.45	Granate	3.0	
1.0	0.0	290928.11	1.48	0.95	4.52	1.16	0.07	6.0	0.0	0.0	2.57	0.0	204613.56	5.62	0.86	4.33	1.65	Flyer 	2.0	
1.0	0.0	106865.68	5.83	0.38	4.33	1.85	1.68	4.0	0.0	0.0	23.97	1.0	60860.15	5.33	0.97	2.56	1.69	Gong	1.0	
0.0	0.0	279946.51	4.19	1.36	1.47	0.77	2.24	6.0	0.0	1.0	2.57	1.0	176947.94	4.71	1.71	4.79	1.47	Lawine	3.0	
1.0	1.0	208608.29	5.11	0.9	5.0	1.57	8.5	8.0	1.0	1.0	3.0	1.0	81521.76	5.67	0.84	4.67	1.33	Säugling	2.0	
1.0	0.0	71463.92	1.17	0.49	4.91	1.12	20.31	4.0	0.0	0.0	7.71	0.0	52677.02	5.86	0.36	4.57	1.54	Hemd	1.0	
1.0	0.0	202588.19	1.71	0.92	4.83	1.58	3.79	5.0	0.0	0.0	12.41	0.0	150058.73	4.83	1.58	4.28	1.49	Lanze	2.0	
1.0	0.0	265028.06	1.6	na	4.87	na	0.4	6.0	0.0	0.0	3.0	0.0	90576.58	5.54	0.93	4.87	na	Tandem	2.0	
1.0	0.0	211928.7	1.53	0.72	4.78	1.31	0.89	7.0	0.0	0.0	1.28	0.0	155148.66	5.44	1.25	4.0	1.66	Karaffe	3.0	
0.0	1.0	126558.73	4.44	1.63	1.13	0.34	0.7	7.0	1.0	1.0	1.28	1.0	51120.9	4.81	1.33	3.44	1.15	Drossel	2.0	
1.0	0.0	31076.39	4.87	na	4.4	na	0.23	4.0	0.0	0.0	8.99	1.0	23130.44	5.63	0.71	4.47	na	Mofa	2.0	
0.0	0.0	316879.75	4.67	1.64	3.06	1.63	1.11	9.0	0.0	0.0	1.28	1.0	31471.54	4.72	1.32	2.89	1.53	Triebwerk	2.0	
0.0	1.0	108280.83	4.33	1.24	1.39	0.78	1.32	7.0	1.0	1.0	3.42	1.0	27188.58	5.56	0.86	5.11	1.28	Gorilla	3.0	
1.0	1.0	31351.93	5.28	0.75	4.89	1.64	9.83	4.0	1.0	1.0	14.13	1.0	20286.26	5.72	0.96	4.61	1.29	Baby	2.0	
1.0	0.0	378080.32	1.96	1.22	4.74	1.25	1.72	10.0	0.0	0.0	0.86	0.0	193395.03	5.1	1.26	4.33	1.39	Marionette	5.0	
1.0	0.0	338444.53	1.13	0.5	4.25	1.57	2.92	7.0	0.0	0.0	2.14	0.0	151455.77	5.38	0.96	4.31	1.62	Perücke	3.0	
1.0	0.0	170737.23	1.09	0.29	5.04	0.98	11.36	6.0	0.0	0.0	2.57	0.0	159699.85	5.57	0.81	4.76	1.79	Skizze	2.0	
0.0	1.0	598266.23	4.2	na	2.33	na	0.81	13.0	1.0	1.0	0.86	1.0	176372.35	5.63	0.65	4.87	na	Wellensittich	4.0	
0.0	1.0	63816.22	3.93	na	1.53	na	2.62	5.0	1.0	1.0	5.99	1.0	36237.59	6.0	0.0	4.53	na	Spatz	1.0	
1.0	0.0	24710.58	1.4	na	4.67	na	0.11	5.0	0.0	0.0	4.71	0.0	21500.11	4.52	1.54	4.13	na	Kajak	2.0	
0.0	0.0	210971.48	4.94	1.24	2.94	1.39	0.47	7.0	0.0	0.0	2.57	1.0	161860.54	4.88	1.45	1.8	1.32	Gebläse	3.0	
0.0	0.0	149348.45	4.29	1.4	2.94	1.71	0.41	5.0	0.0	0.0	3.0	1.0	125917.37	4.11	1.45	3.06	1.43	Rotor	2.0	
0.0	1.0	218095.09	3.81	1.38	1.63	0.62	8.73	5.0	1.0	1.0	11.56	1.0	145714.91	5.75	0.45	4.31	1.54	Taube	2.0	
0.0	0.0	474188.97	1.0	na	1.8	na	11.24	9.0	0.0	0.0	2.57	0.0	147037.8	5.05	1.36	2.4	na	Fundament	3.0	
0.0	1.0	565006.15	1.38	0.5	1.5	1.32	0.56	6.0	1.0	1.0	14.13	0.0	388593.13	5.06	1.12	4.31	1.78	Rochen	2.0	
0.0	0.0	278930.07	1.87	0.92	2.13	1.25	2.19	5.0	0.0	0.0	10.27	0.0	159931.43	4.86	1.28	3.38	1.6	Rinne	2.0	
1.0	0.0	417326.85	1.0	na	4.07	na	0.28	9.0	0.0	1.0	0.86	0.0	187357.07	5.5	0.83	4.53	na	Zwetschge	2.0	
1.0	0.0	571890.6	1.33	0.59	4.89	1.08	9.59	6.0	0.0	0.0	12.84	0.0	395254.39	5.83	0.51	3.83	1.5	Kuchen	2.0	
0.0	1.0	249930.24	4.38	1.02	2.25	1.34	5.4	4.0	1.0	1.0	14.98	1.0	181183.25	5.56	1.09	4.38	1.09	Ente	2.0	
0.0	0.0	152635.03	5.44	1.21	3.07	1.94	1.55	6.0	0.0	0.0	1.28	1.0	111973.73	4.56	1.31	1.6	1.12	Geläut	2.0	
0.0	0.0	279687.47	4.48	1.59	1.57	0.9	2.4	8.0	0.0	1.0	2.57	1.0	104630.02	5.05	1.07	3.67	1.62	Brandung	2.0	
0.0	1.0	432365.2	1.87	1.1	1.39	0.72	0.63	6.0	1.0	1.0	10.7	0.0	263332.01	5.43	0.81	3.71	1.52	Marder	2.0	
